,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,Expected Number of Deaths
131,0.0,0.0,110490185.17627996,0.08437632544282825,38489011.678366214,0.05576093193227369,0.0,0.0,0.0,0.0,0.0,0.0,0.14013725737510194
132,0.0,0.0,11169515.145620342,0.010427471531422703,2263507290.4550323,3.5519992359327244,0.0,0.0,0.0,0.0,0.0,0.0,3.562426707464147
133,2499333781.6292243,1.9415126016324278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9415126016324278
134,29712184.579279725,0.027110873384944997,33175932.101475514,0.03994349148464914,180943876.32639784,0.4048582665276138,0.0,0.0,0.0,0.0,0.0,0.0,0.47191263139720796
135,39089086.02934525,0.027471148688852913,42885473.41773392,0.039455181654863905,1000261322.4879379,1.6698588924343218,0.0,0.0,1022386691.7190508,0.8044059438302017,0.0,0.0,2.5411911666082405
136,2980836371.6943674,1.9681460290884223,55968157.057487644,0.04863769538882895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0167837244772513
137,2831780995.877169,1.9672289248285724,0.0,0.0,697162025.8779917,1.2211343568453488,0.0,0.0,0.0,0.0,0.0,0.0,3.1883632816739214
138,2671548847.5870113,1.9653796447787462,0.0,0.0,1363755373.9675834,2.497073058984502,1748719.9944946622,0.0008739739466888784,11700334.425985496,0.01153369165513101,0.0,0.0,4.474860369365069
139,0.0,0.0,28903094.559286535,0.02658297555098521,183694799.9747718,0.3105614770292006,72634783.93517311,0.03125479306876743,610882318.9825039,0.5033177170582367,0.0,0.0,0.8717169627071899
140,71941509.90809816,0.06469127777244171,0.0,0.0,204854439.62515706,0.4596078223153315,52338052.43126565,0.03000257249606899,15353461.493126974,0.01726165880132932,0.0,0.0,0.5715633313851716
141,192938797.9052635,0.152407945291326,0.0,0.0,28128320.07958025,0.05706073408110112,3728788.6770283175,0.002092181280866698,179499470.45014706,0.18121936901756586,0.0,0.0,0.3927802296708597
142,2485068716.11738,1.9275527626516444,0.0,0.0,634019303.9126538,1.2583714089105724,0.0,0.0,0.0,0.0,0.0,0.0,3.185924171562217
143,480433271.61386716,0.37096751518814247,917886552.6178095,0.8727152151405888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2436827303287312
144,96360835.10503584,0.06457933858902537,17407592.977929074,0.015582125186599323,369636460.244664,0.6141575248447776,0.0,0.0,0.0,0.0,0.0,0.0,0.6943189886204023
145,113481688.6734319,0.06562958585348419,1270290034.5107236,0.8722872446702346,0.0,0.0,2781857.0649154815,0.0010305654638143973,0.0,0.0,0.0,0.0,0.9389473959875332
146,1110454460.2835739,0.7914606117118026,545403298.6237642,0.49560327724827613,0.0,0.0,2857456.7214349275,0.0013319586469864775,0.0,0.0,0.0,0.0,1.2883958476070652
147,631944006.0520003,0.37369402826372156,0.0,0.0,240382940.8787387,0.362428693234698,0.0,0.0,664851257.5102913,0.5014973994384353,0.0,0.0,1.237620120936855
148,0.0,0.0,991420799.8420622,0.8369548029186762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8369548029186762
149,269113596.3373467,0.2755067160214797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2755067160214797
150,3338897564.2912483,1.9235212561669908,0.0,0.0,0.0,0.0,32479650.320445932,0.009817415032624077,0.0,0.0,0.0,0.0,1.9333386711996148
151,35216212.390483014,0.02806969794496339,261033308.39737988,0.26006497570390286,0.0,0.0,0.0,0.0,91058223.248074,0.08892048104186825,0.0,0.0,0.3770551546907345
152,2140887621.1519942,1.9362837327449656,0.0,0.0,1470216104.9495935,3.3088146820767084,4163072.475317036,0.0026221239817699324,0.0,0.0,0.0,0.0,5.247720538803445
153,3155096550.3877387,1.9406634688557287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9406634688557287
154,0.0,0.0,12051367.294590998,0.010671256952445259,120237799.24945225,0.19296646314660854,5048655.804259474,0.0023335776800581347,1068242639.4156272,0.8232936021546794,0.0,0.0,1.0292648999337912
155,2506188398.5110884,1.9482238208639564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9482238208639564
156,0.0,0.0,9489972.229286838,0.010617424954795196,94779604.37969448,0.1923846590673795,0.0,0.0,428700803.57332516,0.4289116361579942,0.0,0.0,0.6319137201801689
157,2511912379.3605785,1.9538288192742388,8577897.197258543,0.009834313463495708,16498425.42217694,0.035785882968615054,0.0,0.0,26441493.897122897,0.028626251834363545,0.0,0.0,2.028075267540713
158,2382129326.7964234,1.8602889588398246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8602889588398246
